"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"184","Tbp",0,0,0,0
"185","Phc3",0,0,0,0
"186","Slc38a6",0,0,0,0
"187","Csnk1g3",1,1,0,0
"188","March5",0,0,0,0
"189","Gm13889",1,1,1,1
"190","Htr3a",0,0,0,0
"191","Shisa3",1,0,1,1
"192","Rab18",0,0,0,0
"193","Pld1",0,0,0,0
"194","Zfp91",0,0,0,0
"195","Plcl1",0,0,0,0
"196","Bgn",1,0,1,1
"197","Col9a1",0,0,0,0
"198","Neto2",0,0,0,0
"199","Ppp3cc",0,0,0,0
"200","Mat2b",0,0,0,0
"201","Tgfbr2",0,0,0,0
"202","Daam1",0,0,0,0
"203","Rps4x",0,0,0,0
"204","Anapc4",0,0,0,0
"205","Eprs",0,0,0,0
"206","Pcsk6",0,0,0,0
"207","Ptprd",0,0,0,0
"208","Psmb10",0,0,0,0
"209","Fancc",0,0,0,0
"210","Acbd5",0,0,0,0
"211","X1200011I18Rik",0,0,0,0
"212","Syt4",0,0,0,0
"213","Rbm42",0,0,0,0
"214","Pygb",0,0,0,0
"215","Eomes",1,0,1,1
"216","Aldh7a1",0,0,1,1
"217","Mypop",0,0,0,0
"218","Aco2",0,0,0,1
"219","Nr2f1",0,0,0,0
"220","Cdk17",1,0,1,1
"221","Steap2",0,0,0,0
"222","Car10",0,0,0,0
"223","Lamtor1",0,0,0,0
"224","Vps26a",0,0,0,1
"225","Sertad4",0,0,0,0
"226","Atg9a",0,0,0,0
"227","Rpl10a",0,1,0,0
"228","B3galtl",0,0,0,0
"229","Cand2",0,0,0,0
"230","Tmx3",0,0,0,0
"231","Ank2",0,0,0,0
"232","Cul1",0,0,0,0
"233","Syt13",0,0,0,0
"234","Tiam2",0,1,0,0
"235","Frmd3",0,0,0,0
"236","Clk4",0,0,0,0
"237","Dopey2",0,0,0,0
"238","Gpr37l1",0,0,1,1
"239","Adnp",0,0,0,0
"240","Cdca7l",0,0,0,0
"241","Rwdd4a",0,0,0,0
"242","Cuedc2",0,1,0,0
"243","Kptn",0,0,0,0
"244","Hspe1",0,0,0,0
"245","Pitrm1",0,0,0,0
"246","Dlx6as1",0,1,0,0
"247","Arhgap32",0,0,0,0
"248","Scrib",1,0,1,1
"249","Arap2",0,0,0,0
"250","Pcdhb7",0,0,0,0
"251","Cox4i1",0,1,0,0
"252","Cnn3",1,0,1,1
"253","Ryr3",0,0,0,0
"254","Ppp1r36",0,0,0,0
"255","Xrcc6bp1",0,0,0,0
"256","Ccdc85a",0,0,0,0
"257","Dhps",0,0,0,0
"258","Cd24a",0,0,0,0
"259","Wdr1",0,0,0,0
"260","Copa",0,0,0,0
"261","Slitrk5",0,0,0,0
"262","Map2k2",0,0,0,0
"263","Itgb1",1,0,0,1
"264","Pikfyve",0,0,0,0
"265","Txndc15",0,0,0,0
"266","Myt1l",1,1,0,0
"267","Vat1l",1,0,1,1
"268","Shprh",0,0,0,1
"269","Arhgdig",1,0,1,0
"270","BC002163",0,0,0,0
"271","Acsl4",0,0,0,0
"272","Rgs12",1,0,1,1
"273","Man2b1",1,0,0,0
"274","Pex13",0,0,0,0
"275","Prune2",0,0,0,0
"276","Rmnd5b",0,0,0,0
"277","Rad9a",0,0,0,0
"278","E2f7",0,0,0,0
"279","Lmnb2",0,0,0,0
"280","Sfrp1",0,0,0,0
"281","Gemin5",0,0,0,0
"282","Laptm4a",1,0,1,1
"283","Phka2",0,0,0,0
"284","Slc39a1",0,0,0,0
"285","Birc2",0,0,0,0
"286","Srebf2",0,0,0,0
"287","Atp6ap1",0,0,0,0
"288","Atp6v0b",0,1,0,0
"289","Pkig",0,1,1,0
"290","BC030336",0,0,0,0
"291","Eif3i",0,0,0,0
"292","Ubr4",0,0,0,0
"293","Phf1",0,0,0,0
"294","D8Ertd738e",0,1,0,0
"295","Foxg1",0,0,0,0
"296","Ptprs",0,0,0,0
"297","Ints2",0,0,0,0
"298","Rps23",0,1,0,0
"299","Wipf2",0,0,0,1
"300","Psmd7",0,0,0,0
"301","Yipf4",0,0,0,0
"302","Tenm3",1,1,1,1
"303","Sez6",1,1,1,1
"304","Ssbp4",0,0,0,0
"305","Polr1c",0,0,0,0
"306","Nup88",0,0,0,0
"307","Lrrc8a",0,0,0,0
"308","Matk",0,0,0,0
"309","Aftph",0,0,0,0
"310","Ercc6",0,0,0,0
"311","Tril",0,0,0,0
"312","X1810014B01Rik",0,0,0,1
"313","Flnb",0,0,0,0
"314","Ndrg3",0,0,0,0
"315","Cpne6",0,1,0,0
"316","Rin2",0,0,0,0
"317","Rtn4",0,1,0,0
"318","Zhx1",0,0,0,0
"319","Lims2",0,0,0,0
"320","Siah1a",0,0,0,0
"321","Necab3",0,0,0,1
"322","Ppp2r2b",0,0,0,0
"323","Csnk1e",0,0,0,0
"324","Nat14",0,0,0,0
"325","Scarf2",0,0,0,0
"326","Maged1",0,0,0,0
"327","Cacng3",1,0,1,1
"328","Chmp1a",0,0,0,0
"329","Maea",0,0,0,0
"330","Abhd4",0,0,0,0
"331","Rps14",0,1,0,0
"332","Tmem63b",0,0,0,0
"333","Camk2g",0,0,0,0
"334","Gaa",0,0,0,0
"335","Wdr36",0,0,0,0
"336","Adss",0,0,0,0
"337","Ms4a6c",0,0,0,0
"338","Kirrel3",0,0,0,0
"339","Gm7444",0,0,0,0
"340","Rock1",0,0,0,1
"341","Ctsz",0,0,0,0
"342","Srp54b",0,0,0,0
"343","Clasp2",0,0,0,0
"344","Gpbp1",0,0,0,0
"345","Rpp30",0,0,0,0
"346","Gpatch4",0,0,0,0
"347","Kcnip2",0,0,0,0
"348","Prkcb",1,0,1,1
"349","Nisch",0,0,0,0
"350","Fmr1",0,0,0,0
"351","Slc48a1",0,0,0,0
"352","Gna11",0,0,0,0
"353","Foxo3",0,0,0,0
"354","Fam76a",0,0,0,0
"355","Sox12",0,0,0,0
"356","Ndufa11",0,0,0,0
"357","Spock3",0,1,1,0
"358","Insm1",0,0,0,0
"359","Neurl4",0,0,0,0
"360","Lsg1",0,0,0,0
"361","Tcf4",0,1,0,0
"362","Hist1h4d",0,0,0,0
"363","Lyn",1,0,1,1
"364","Rps12",0,0,0,0
"365","Papola",0,0,0,1
"366","Tagln3",0,0,0,0
"367","Atp1a2",1,0,1,1
"368","Setd1b",1,0,0,0
"369","Cdc42se2",0,1,0,0
"370","Ildr2",0,0,0,0
"371","Cldn12",0,0,0,0
"372","Zc4h2",0,0,0,0
"373","Dhodh",0,0,0,0
"374","Smarce1",0,0,0,0
"375","S100b",1,0,1,1
"376","Dctn2",0,1,0,0
"377","Sdhaf1",0,0,0,0
"378","Myef2",0,0,0,0
"379","Cpsf3",0,0,0,0
"380","Maf1",0,0,0,0
"381","Diap1",0,0,0,0
"382","Yme1l1",0,0,0,0
"383","Usp24",0,0,0,0
"384","Nckipsd",0,0,0,0
"385","Mterfd1",0,0,0,0
"386","Gpr17",0,0,0,0
"387","Zfp740",0,0,0,0
"388","Tbc1d9b",0,0,1,1
"389","Arl2bp",0,0,0,1
"390","Rxrb",0,0,0,0
"391","Pop7",0,0,0,0
"392","Cnot7",0,0,0,0
"393","Ccsap",1,0,1,0
"394","Hnrnpa2b1",0,1,0,1
"395","Rbfox3",1,1,1,1
"396","Xpr1",0,1,0,0
"397","Kcnd3",0,0,0,0
"398","Mrpl33",0,0,0,0
"399","Ddx19a",0,0,0,1
"400","Rcc2",0,0,0,0
"401","Psmb4",0,0,0,0
"402","Ddx50",0,0,0,0
"403","D5Ertd579e",0,0,0,0
"404","Rnf138",0,0,0,0
"405","Igsf11",0,0,0,0
"406","Emd",0,0,0,0
"407","Stx12",0,0,0,0
"408","Ntan1",0,0,0,0
"409","Gng13",1,1,1,1
"410","Mrpl13",0,0,0,0
"411","Cd274",0,0,0,0
"412","Emc2",0,0,0,0
"413","Cct8",0,0,0,0
"414","Tmem127",0,0,0,0
"415","Phyhd1",0,0,0,0
"416","Tmed7",0,0,0,0
"417","Prkaca",0,0,0,0
"418","Stx6",0,0,0,0
"419","Macrod2",0,0,0,0
"420","Gramd4",0,0,0,0
"421","Rbbp6",0,0,0,0
"422","Aasdhppt",1,0,0,0
"423","Bpgm",0,0,0,0
"424","Ndufb10",0,0,0,0
"425","Lrpap1",0,0,0,0
"426","Banp",0,0,0,0
"427","Ncrna00085",1,0,0,0
"428","Jmjd6",0,0,0,0
"429","Jmy",0,0,0,0
"430","Gng4",1,1,1,1
"431","Clk2",0,0,0,0
"432","Phactr1",0,0,0,0
"433","Eno2",1,1,1,1
"434","Mir703",0,1,1,1
"435","Sh3glb2",0,1,1,0
"436","Grm2",0,0,0,0
"437","Akr1e1",0,0,0,0
"438","Wwp2",0,0,0,0
"439","Selk",0,0,0,0
"440","Rps2",0,0,0,0
"441","Scara3",0,0,0,0
"442","Hspd1",0,0,0,0
"443","Ptov1",0,0,0,0
"444","Trim59",0,0,0,0
"445","Fam101b",0,0,0,0
"446","Ankhd1",0,0,0,0
"447","Mrpl22",0,0,0,0
"448","Api5",0,0,0,0
"449","A230065H16Rik",0,0,0,0
"450","Dgat2",0,0,0,0
"451","Klhdc3",0,0,0,0
"452","Mlf2",0,0,1,1
"453","Rpl31",0,0,0,0
"454","Sucla2",0,0,0,0
"455","Ncapd2",0,0,0,0
"456","Gpr158",0,0,0,0
"457","Rabgap1",0,0,0,1
"458","Bap1",0,0,0,0
"459","Atxn10",0,0,0,0
"460","Cadm2",0,0,1,0
"461","Tsn",0,0,0,0
"462","Zfp654",0,0,0,0
"463","Agap3",0,0,0,1
"464","Sumo3",0,1,0,0
"465","Mtfp1",0,0,0,0
"466","Minpp1",0,1,0,0
"467","Eif3a",0,0,0,0
"468","Romo1",0,0,0,0
"469","Ube2g2",1,0,0,0
"470","Lmna",0,0,0,1
"471","C030023E24Rik",0,0,0,0
"472","Mtpn",0,1,0,0
"473","Ambra1",0,0,0,0
"474","Hbegf",0,0,0,0
"475","Tmem191c",0,0,0,0
"476","Fam5c",0,0,0,0
"477","Uggt1",0,0,0,0
"478","Btbd7",0,0,0,0
"479","Uvrag",0,0,0,0
"480","Yars2",0,0,0,0
"481","X4930503E24Rik",0,0,0,0
"482","Cyb5",0,1,0,0
"483","Rpl4",0,0,0,0
"484","Srrm3",0,0,0,0
"485","Bcl10",0,0,0,0
"486","Gm1673",0,0,0,0
"487","Sft2d2",0,0,1,0
"488","Ssbp2",0,0,0,0
"489","Dnm1",1,1,1,0
"490","Tmem200c",0,0,0,0
"491","Cacna1i",0,0,0,0
"492","Ndufc2",0,1,0,0
"493","Tubgcp3",0,0,0,0
"494","Homer1",1,0,0,1
"495","X0610009O20Rik",0,0,0,0
"496","Rnf34",0,0,0,0
"497","Nrsn2",0,0,0,1
"498","C330021F23Rik",1,0,1,1
