"","gene","BOOST_Ising","BOOST_GP","SPARK","BinSpect"
"191","NGRN",0,0,0,0
"192","STAB1",0,0,0,1
"193","PSMB1",0,0,0,0
"194","NPAS2",0,0,0,0
"195","ACADVL",0,0,0,0
"196","DDX21",0,0,0,1
"197","NADK",0,0,0,0
"198","S100A11",0,0,0,1
"199","TNC",1,0,1,1
"200","ZNHIT1",0,0,0,0
"201","TEX30",0,0,0,0
"202","ENAH",1,0,0,1
"203","ST6GAL1",0,0,0,1
"204","FRMD3",0,0,0,0
"205","KLRG1",0,0,0,0
"206","SCAMP2",0,0,0,0
"207","SIGMAR1",0,0,0,0
"208","GPX4",0,0,0,0
"209","RPL36",1,0,1,1
"210","PLGRKT",0,0,0,1
"211","PLD3",0,0,1,1
"212","NADK2",0,0,0,1
"213","CCL4L2",0,0,0,0
"214","PDP1",0,0,0,1
"215","INSIG2",0,0,0,0
"216","DDX23",0,0,0,0
"217","CXCL10",0,0,1,1
"218","RPL36AL",0,0,0,0
"219","RPL41",1,0,1,1
"220","VMA21",0,0,0,1
"221","FUCA2",0,0,0,1
"222","PSMD3",1,0,0,1
"223","NDUFB6",0,0,0,1
"224","CLEC3A",1,0,1,1
"225","ILF3",0,0,0,1
"226","HIST2H2AA3",0,0,0,0
"227","SSR2",0,0,0,0
"228","EIF3B",0,0,0,0
"229","TRAPPC3",0,0,0,1
"230","CHST3",0,0,0,0
"231","HSPA8",0,0,0,0
"232","NRBP1",0,0,0,0
"233","FTSJ2",0,0,0,0
"234","SPCS3",0,0,0,1
"235","HSP90B1",0,0,0,0
"236","CXCL14",0,0,0,0
"237","TWF2",0,0,0,0
"238","C1GALT1C1",0,0,0,0
"239","RPS2",0,0,0,0
"240","RAB33B",0,0,0,0
"241","MTPAP",0,0,0,0
"242","ADIPOR1",0,0,0,1
"243","CHCHD1",0,0,0,1
"244","ALDH7A1",0,0,0,1
"245","YWHAZ",0,0,1,1
"246","LAMP1",0,0,0,1
"247","MDH1",0,0,0,1
"248","PRSS23",1,1,1,1
"249","TTC36",0,0,0,0
"250","ZNHIT3",0,0,0,0
"251","COL5A2",0,0,1,1
"252","ZDHHC6",0,0,0,1
"253","C2CD4B",0,0,0,0
"254","DENND4A",0,0,0,0
"255","CDC16",0,0,0,0
"256","DR1",0,0,0,1
"257","EFTUD2",0,0,0,0
"258","DAB2",0,0,0,0
"259","METTL6",0,0,0,0
"260","CHPF",0,0,0,0
"261","SAP30BP",0,0,0,0
"262","GPAA1",0,0,1,1
"263","FTSJ3",0,0,0,0
"264","AGAP3",0,0,0,1
"265","POSTN",1,1,1,1
"266","STARD10",1,0,1,1
"267","IL13RA1",0,0,0,1
"268","RPL10A",0,0,0,0
"269","RPLP0",1,0,1,1
"270","MED29",0,0,0,0
"271","DBI",1,0,1,1
"272","ARHGDIB",0,0,0,0
"273","UBR2",0,0,0,1
"274","AIG1",0,0,0,1
"275","SLC40A1",0,0,0,0
"276","XPR1",0,0,0,1
"277","NPC2",0,0,0,0
"278","RAB32",1,0,0,1
"279","MRPL23",0,0,0,1
"280","NSL1",0,0,0,0
"281","ACACA",0,0,1,1
"282","ARHGAP32",0,0,0,1
"283","MGAT5",0,0,0,0
"284","KTN1",0,0,0,0
"285","HIATL1",0,0,0,1
"286","ATF4",0,0,0,1
"287","TMEM106C",0,0,0,1
"288","CPD",0,0,0,1
"289","SCARB2",0,0,0,1
"290","PSMD14",0,0,0,1
"291","PIGQ",0,0,0,0
"292","THBS1",0,0,0,0
"293","MDFIC",0,0,0,0
"294","GNPNAT1",0,0,0,1
"295","RPLP2",0,0,1,1
"296","ATP6V1C1",0,0,0,1
"297","FBXO28",0,0,0,1
"298","MRPL13",0,0,0,1
"299","JTB",0,0,0,1
"300","PQLC1",0,0,0,0
"301","VIMP",0,0,0,1
"302","SMG7",0,0,1,1
"303","CYB561D2",0,0,0,1
"304","ARF1",1,0,0,1
"305","PPP1R2",0,0,0,1
"306","ITCH",0,0,0,0
"307","SLC9A3R2",0,0,0,1
"308","TDP2",0,0,0,1
"309","KIAA1551",0,0,0,0
"310","RPS8",1,0,1,1
"311","HNRNPD",0,0,0,1
"312","DHRSX",0,0,0,1
"313","AP2M1",0,0,0,0
"314","TMEM140",0,0,0,0
"315","CHMP4B",0,0,0,1
"316","EIF2AK2",0,0,0,1
"317","FAM160B2",0,0,0,0
"318","TECPR2",0,0,0,0
"319","MFAP5",0,0,0,0
"320","TSPO",0,0,0,0
"321","FNBP1",0,0,0,0
"322","RASSF5",0,0,0,0
"323","DCTN2",0,0,0,1
"324","PPT1",0,0,0,0
"325","DUSP1",0,0,0,0
"326","BET1L",0,0,0,1
"327","NSFL1C",0,0,0,0
"328","FDFT1",0,0,0,0
"329","ADNP",0,0,0,1
"330","SPINT2",1,1,1,1
"331","U2SURP",0,0,0,1
"332","LAMA2",0,0,0,1
"333","TXNL4A",0,0,0,1
"334","GSPT1",0,0,0,1
"335","SEPW1",0,0,0,1
"336","WDR43",0,0,0,0
"337","PSMC4",0,0,0,0
"338","RAD9A",0,0,0,0
"339","MUC1",1,0,0,0
"340","KDM2A",0,0,0,1
"341","COX6B1",0,0,1,1
"342","LGALS3",0,0,1,1
"343","CISD2",0,0,0,0
"344","NFIC",0,0,0,1
"345","ROMO1",1,0,1,1
"346","WNK4",0,0,0,0
"347","XBP1",1,0,1,1
"348","RPL27",0,0,0,1
"349","NOL9",0,0,0,0
"350","TRPC4AP",0,0,0,1
"351","DHCR24",0,0,0,0
"352","LAMA5",0,0,0,1
"353","CCNF",0,0,0,0
"354","ZDHHC12",0,0,0,0
"355","FAM83F",0,0,0,0
"356","RNF130",0,0,0,1
"357","RAP1B",0,0,0,1
"358","ADIRF",0,0,1,0
"359","AAK1",0,0,0,1
"360","GLI3",0,0,0,0
"361","PFDN2",1,0,0,1
"362","CST3",1,0,1,1
"363","RPL3",1,0,1,1
"364","PTAR1",0,0,0,0
"365","ZFP36L2",0,0,0,0
"366","SDF4",0,0,0,0
"367","RPL8",0,0,1,1
"368","SNRPD1",0,0,0,1
"369","AAR2",0,0,0,1
"370","API5",0,0,0,1
"371","BMP4",0,0,0,0
"372","LARGE",0,0,0,0
"373","PLP2",0,0,0,0
"374","SRI",0,0,0,1
"375","TACC1",0,0,0,0
"376","CCNJ",0,0,0,0
"377","ACLY",0,0,0,1
"378","TRIQK",0,0,0,0
"379","RPL18A",1,0,1,1
"380","AMY1B",0,0,0,0
"381","RHOC",1,0,0,0
"382","RPL14",0,0,0,0
"383","GON4L",0,0,0,0
"384","CCT5",0,0,0,1
"385","NUDT14",0,0,0,0
"386","HADH",0,0,1,1
"387","MRPL24",0,0,0,0
"388","PTMS",0,0,0,0
"389","ATP6V0C",0,0,0,1
"390","RPS15",1,0,1,1
"391","FRG1",0,0,0,0
"392","UBE2D3",0,0,0,0
"393","SCD",1,0,1,1
"394","INO80D",0,0,0,0
"395","JUP",0,0,0,0
"396","CEACAM19",0,0,0,0
"397","PHKB",0,0,0,1
"398","NBL1",0,0,0,1
"399","SLC19A2",0,0,0,0
"400","PCYT2",0,0,0,0
"401","RPL38",0,0,0,1
"402","APPL1",0,0,0,0
"403","SCCPDH",0,0,0,1
"404","STAT1",0,0,1,1
"405","FAM103A1",0,0,0,0
"406","LRRC75A",0,0,0,0
"407","ERBB2",0,1,1,0
"408","SERPINA3",0,0,0,0
"409","CNN2",0,0,0,0
"410","NIP7",0,0,0,0
"411","VPS45",0,0,0,0
"412","GLB1",0,0,0,1
"413","PIEZO1",0,0,0,0
"414","PBRM1",0,0,0,0
"415","PARP3",0,0,0,0
"416","AGAP1",0,0,0,0
"417","DMWD",0,0,0,0
"418","MYL7",0,0,0,0
"419","RMDN1",0,0,0,1
"420","RPS24",0,0,0,1
"421","FSCN1",0,0,0,0
"422","EMILIN1",0,0,0,0
"423","FBXO9",0,0,0,0
